"subj"	"block"	"trialN"	"setID"	"RTs"	"cond"	"bsl"	"RTadj"	"RTlog"	"rep"	"day"
"1"	"6"	34	3	1.876	"RANDREG"	0.348	1.528	0.184123354239671	2	"day2"
"1"	"6"	36	95	2.1627	"RANDREG"	0.348	1.8147	0.258804839227013	2	"day2"
"1"	"6"	39	2	1.9016	"RANDREG"	0.348	1.5536	0.19133921256393	2	"day2"
"1"	"6"	41	66	1.8753	"RANDREG"	0.348	1.5273	0.183924351757001	3	"day2"
"1"	"6"	43	31	1.7421	"RANDREG"	0.348	1.3941	0.144293927198531	3	"day2"
"1"	"6"	44	76	2.306	"RANDREG"	0.348	1.958	0.291812687467119	3	"day2"
"1"	"6"	53	44	1.7115	"RANDREG"	0.348	1.3635	0.134655142277649	3	"day2"
"1"	"6"	55	91	2.7449	"RANDREG"	0.348	2.3969	0.379649915404481	3	"day2"
"1"	"6"	57	100	2.0149	"RANDREG"	0.348	1.6669	0.221909546588134	3	"day2"
"1"	"6"	9	24	1.7372	"TARGET"	0.348	1.3892	0.142764774638725	1	"day2"
"1"	"6"	15	32	2.2673	"TARGET"	0.348	1.9193	0.283142863303242	1	"day2"
"1"	"6"	22	38	1.9556	"TARGET"	0.348	1.6076	0.206177997519997	1	"day2"
"1"	"6"	33	24	2.3279	"TARGET"	0.348	1.9799	0.296643255642879	2	"day2"
"1"	"6"	38	32	1.9969	"TARGET"	0.348	1.6489	0.217194318006505	2	"day2"
"1"	"6"	49	24	2.2015	"TARGET"	0.348	1.8535	0.267992590365582	3	"day2"
"1"	"6"	50	32	2.295	"TARGET"	0.348	1.947	0.289365951520032	3	"day2"
"1"	"6"	51	38	1.9605	"TARGET"	0.348	1.6125	0.207499723307305	3	"day2"
"1"	"7"	5	7	1.7581	"RANDREG"	0.32715	1.43095	0.155624458984468	1	"day3"
"1"	"7"	6	9	1.6574	"RANDREG"	0.32715	1.33025	0.12393326759676	1	"day3"
"1"	"7"	7	2	2.2011	"RANDREG"	0.32715	1.87395	0.272757999031063	1	"day3"
"1"	"7"	9	16	2.1771	"RANDREG"	0.32715	1.84995	0.267159990555693	1	"day3"
"1"	"7"	12	15	1.6567	"RANDREG"	0.32715	1.32955	0.123704674360914	1	"day3"
"1"	"7"	13	4	2.5554	"RANDREG"	0.32715	2.22825	0.347963915195364	1	"day3"
"1"	"7"	15	5	1.9305	"RANDREG"	0.32715	1.60335	0.205028336126359	2	"day3"
"1"	"7"	16	11	1.8323	"RANDREG"	0.32715	1.50515	0.177579782937247	2	"day3"
"1"	"7"	17	13	2.4639	"RANDREG"	0.32715	2.13675	0.329753712631177	2	"day3"
"1"	"7"	18	1	2.0404	"RANDREG"	0.32715	1.71325	0.233820740489432	2	"day3"
"1"	"7"	19	17	1.5014	"RANDREG"	0.32715	1.17425	0.0697605688552865	2	"day3"
"1"	"7"	29	10	2.4589	"RANDREG"	0.32715	2.13175	0.328736271655338	3	"day3"
"1"	"7"	30	14	1.7789	"RANDREG"	0.32715	1.45175	0.161891834705362	3	"day3"
"1"	"7"	32	6	2.2079	"RANDREG"	0.32715	1.88075	0.274331070491225	3	"day3"
