"subj"	"RANREG_1"	"RANREG_2"	"RANREG_3"	"RANREG_4"	"RANREG_5"	"RANREGr_1"	"RANREGr_2"	"RANREGr_3"	"RANREGr_4"	"RANREGr_5"	"REPinRAN_1"	"REPinRAN_2"	"REPinRAN_3"	"REPinRAN_4"	"REPinRANr_1"	"REPinRANr_2"	"REPinRANr_3"	"REPinRANr_4"	"REPinRANr_5"
11	0.295027428571429	0.516706	0.473798857142857	0.436600444444444	0.46311225	0.431856	0.4225435	0.384200444444444	0.601231	0.3188435	0.622306	1.215556	0.547556	0.791456	0.478531	0.580722666666667	0.494481	0.800706	0.6333185
12	0.957758666666667	0.947449142857143	1.00948088888889	0.829258666666667	0.836097882352941	0.8842795	0.744247555555556	0.852747555555556	0.602747555555556	0.4987045	1.045152	1.097042	1.439042	1.243442	1.12452057142857	1.026842	1.437772	1.177432	0.647758666666667
13	0.637211	0.456411	0.513824888888889	0.647986	0.821124888888889	0.0387074285714286	0.706086	0.498402666666667	0.6145735	0.734124888888889	0.341102666666667	0.628936	0.492469333333333	NA	0.337811	0.826907428571429	0.616786	0.620536	0.613016
14	0.46546	0.638743333333333	0.649074285714286	0.301217142857143	0.468793333333333	0.421745714285714	0.313071111111111	0.390571111111111	0.26981	0.2762725	0.63486	0.84796	0.337185	0.641885	0.667493333333333	0.56086	0.24991	-0.30414	0.1861975
15	0.547483333333333	0.578163888888889	0.701463888888888	0.812441666666666	0.522008333333333	0.610645833333333	0.410941666666666	0.525695833333333	0.528058333333333	0.474795833333333	0.534983333333333	0.437083333333333	1.414875	0.886268333333332	0.700108333333333	0.859574999999999	0.448108333333333	1.00520833333333	0.459394047619047
16	0.956282	1.20441533333333	0.963552	0.786332	0.754965333333333	0.5371195	1.092932	0.655365333333333	0.795207	0.682932	1.055432	0.787032	NA	1.182032	0.839582	1.576532	1.112932	1.33719866666667	0.590874857142857
17	0.512894666666667	0.696505777777778	0.638803	0.652885142857143	0.531644666666667	0.340194666666667	0.639816888888889	0.368850222222222	0.4335155	0.221156571428571	0.315194666666667	1.161353	1.309428	0.942211333333333	0.831728	NA	1.025608	1.042628	0.674028
18	0.7218695	0.838503428571429	0.779209777777778	0.655920888888889	0.7061695	0.720465333333333	0.743807	0.826776444444444	0.411432	0.469765333333333	0.958132	0.588732	0.926632	0.956465333333333	1.10156533333333	1.540632	1.12619866666667	0.945192	0.600220888888889
19	0.766072	0.916222	0.715460888888889	0.7845345	0.461910888888889	0.716712	0.781855333333333	0.846957714285714	0.622972	0.438747	1.284772	1.058972	1.023222	0.986612	0.733772	1.206497	1.26518866666667	1.009997	0.534894222222222
20	0.322994857142857	0.769709142857143	0.767027	0.535896444444445	0.4517145	0.4933895	0.647894857142857	0.328852	0.278540888888889	0.212429777777778	0.418752	0.505977	0.319177	0.442552	0.534235333333333	0.639052	0.345218666666667	0.880032	0.3599395
21	0.309565142857143	0.522779428571429	0.431630222222222	0.5577455	0.613508	0.285722285714286	0.601122285714286	0.5475955	0.286179428571429	0.221774666666667	0.369748	0.520548	0.854508	0.858158	0.725674666666667	0.708188	0.788208	0.796522285714286	0.493765142857143
22	0.400494666666667	0.515805777777778	0.518050222222222	0.573905777777778	0.260534666666667	0.252578	0.341961333333333	0.3261155	0.249903	0.159039111111111	0.585528	0.767328	0.796756571428571	0.849248	0.733961333333333	0.817128	0.935044666666667	0.701808	0.2462905
23	0.6644125	1.3712875	1.0145375	1.0387625	0.988700735294118	0.544534722222222	1.23775	1.03975694444444	0.990568055555556	0.9252	1.2797375	1.4144125	1.2347125	NA	0.3835625	1.4494125	1.1904125	1.08967916666667	0.965545833333333
24	0.39032	0.431753333333333	0.4726575	0.3338575	0.435505714285714	0.75392	0.524662857142857	0.49762	0.5446325	0.582764444444444	0.48837	0.73867	0.783145	0.859145	0.41892	0.11652	0.669886666666667	0.78622	0.414364444444444
25	0.732344666666667	0.802178	0.758228	0.6767155	0.69193425	0.885661333333333	0.6600655	0.644550222222222	0.665528	0.630739111111111	0.999178	1.158228	0.893303	1.10899466666667	0.783511333333333	0.901111333333333	0.885508	0.8863655	0.444261333333333
26	0.814406666666667	0.710365	0.99254	0.8156275	0.76874	0.641225714285714	0.690925714285714	0.638423333333333	0.69814	0.580782857142857	0.86204	0.85214	0.95404	0.69004	NA	NA	0.974273333333333	0.919565	0.806897142857143
27	0.545827428571429	0.559878222222222	0.611467111111111	0.665033777777778	0.46838725	0.195167111111111	0.391378222222222	0.4642685	0.3091435	0.306298857142857	0.149906	0.845589333333333	0.961831	0.727036	0.757431	0.087256	0.829872666666667	1.051631	0.283744888888889
28	0.719185	0.507248888888889	0.623082222222222	0.7154725	0.6606	0.59891	0.53946	0.400104444444444	0.4243975	0.566248888888889	0.2789	0.79516	0.95861	1.08666	0.73816	0.79406	0.84461	1.06741	0.60931
29	0.54986	0.80276	0.614245714285714	0.56891	0.67294	0.581485	0.5910475	0.457945714285714	0.572835	0.5063725	0.32386	0.90301	1.02941	0.841426666666667	0.70751	0.698226666666667	1.016	0.796726666666667	0.594837777777778
30	0.205578666666667	0.651978666666667	0.643492	0.556612	0.514184727272727	0.192562	0.5323245	0.538526285714286	0.415037	0.395540571428571	0.3210745	0.834545333333333	0.910992	0.953852	0.546897714285714	0.984332	0.720928666666667	0.934037	0.569887
